"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BNO055";"BNO055";"BNO055";"LGA-28";"";"";"";"";"";
"C1";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C2";"10µF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C3";"10µF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C4";"1µF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C5";".1µF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C6";".1µF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C7";"3.3uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C8";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C9";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C10";"22pf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C11";"22pf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C12";"6.8nf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C13";"120nf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"CN3";"JSTPH";"JST_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";"";"";"";
"IC1";"CP2102";"CP2102";"MLP28";"Single-Chip USB to UART Bridge";"FARNELL";"CP2102-GM";"9282130";"30K5635";
"IC2";"";"LT1129CST5";"SOT223";"VOLTAGE REGULATOR";"";"";"";"";
"JP1";"";"PINHD-1X14";"1X14";"PIN HEADER";"";"";"";"";
"JP2";"";"PINHD-1X14";"1X14";"PIN HEADER";"";"";"";"";
"LED1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";
"LED2";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";
"R1";"470";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R2";"470";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R3";"5K\";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R4";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R5";"33k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R6";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R7";"33k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R8";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R9";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R10";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R11";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R12";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R13";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"U$13";"";"USB-AB""";"USB-AB-MICRO-SMD_V02_BOSS";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";"";"";"";
"U1";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";
"U2";"Si7021-A20";"SI7021-A20";"DFN6_3X3_SI";"Si7021-A20 - I2C Humidity and Temperature Sensor";"";"";"";"";
"U3";"SP0503BAHTG";"SP0503BAHTG";"SOT143";"";"";"";"";"";
"XTAL1";"10k";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";
